 img ; jaccard ; dice ; bfscore ;accettabile
 1 ; 0.0000 ; 0.0000 ; 0.0092 ;no
 2 ; 0.5811 ; 0.7351 ; 0.6016 ;yes
 3 ; 0.8455 ; 0.9162 ; 0.7117 ;yes
 4 ; 0.7788 ; 0.8756 ; 0.6224 ;yes
 5 ; 0.3253 ; 0.4909 ; 0.1189 ;yes
 6 ; 0.0916 ; 0.1679 ; 0.2515 ;no
 7 ; 0.0000 ; 0.0000 ; 0.0000 ;no
 8 ; 0.6659 ; 0.7994 ; 0.7728 ;yes
 9 ; 0.0976 ; 0.1779 ; 0.0000 ;no
 10 ; 0.8025 ; 0.8904 ; 0.7937 ;yes
 11 ; 0.9181 ; 0.9573 ; 0.9782 ;yes
 12 ; 0.9429 ; 0.9706 ; 0.9894 ;yes
 13 ; 0.9430 ; 0.9707 ; 0.9932 ;yes
 14 ; 0.9250 ; 0.9610 ; 1.0000 ;yes
 15 ; 0.8637 ; 0.9268 ; 0.9320 ;yes
 16 ; 0.0000 ; 0.0000 ; 0.0000 ;no
 17 ; 0.6669 ; 0.8001 ; 0.6936 ;yes
 18 ; 0.8016 ; 0.8899 ; 0.9163 ;yes
 19 ; 0.0246 ; 0.0480 ; 0.0816 ;no
 20 ; 0.0825 ; 0.1525 ; 0.0000 ;no
 21 ; 0.1010 ; 0.1835 ; 0.0000 ;no
 22 ; 0.1129 ; 0.2029 ; 0.0000 ;no
 23 ; 0.0988 ; 0.1799 ; 0.0000 ;no
 24 ; 0.7340 ; 0.8466 ; 0.7199 ;yes
 25 ; 0.6062 ; 0.7548 ; 0.6470 ;yes
